date;employee_title;employee_status;review_title;pros;cons
2021-07-18;Human Resources;Current Employee, more than 1 year;Great company!;"Culture and people, growth and development, international opportunities
";"Sometimes work long hours/don't take my 9/80s
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-02;Anything Available;Former Employee;review for chevron;"was happy that i had a job
";"wasnt busy enough. i like fast pace
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-29;Gas Station Attendant;Former Employee, less than 1 year;Fine first job.;"It was a relatively straightforward job for someone who had never worked before. You changed the signs, rang up customers, and cleaned. Manager was also quite nice.
";"I don't know if management would have been able to do anything about this, but a lot of customers tended to be inappropriate towards me and as a younger person, it made me feel unsafe and uncomfortable.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-14;Engineering Lead;Current Employee, more than 8 years;great organization with challenging projects;"great people here, engineering team has a great community feel,
";"funding can be a challenge, mid level career prospects can be limiting
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-27;Anonymous;Former Employee;Good company;"I had a great store and nice customers, it was a good experience for me.
";"I wouldn’t have too many cons besides the manager. She didn’t know what she was doing.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-27;Cashier;Former Employee, more than 1 year;Great Management;"They were very flexible with my schedule. Management was understanding. I received a rais after being there a couple of months.
";"Management allowed drama, you had to stand the entire shift without a break. Some workers wouldn't work while the other half had to take up their slack.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-12;Project Manager;Current Employee;Great company;"good, honest, smart, caring people
";"slow decision making and hard to make changes.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-07;Technical Lead;Former Employee, more than 10 years;Chevron Life;"Its a good company and the people there are generally nice and helpful. They do you have work life balance and they actually mean it. They encourage you to transfer to different job about every 3 to 4 years, so you can learn more about the company and grow your skills. I loved working there
";"The pay is ok, its may be a little lower compared to some companies, but they make up for it other benefits, pensions, stocks, and stable work place most of the time. they do have reorganizations about every 4 years depending on the market and Oil/Gas prices
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-07-23;Data Scientist;Current Employee;Good company;"There is a good work life balance, benefits, and culture and the compensation is good for the location. Large technical resource pool and leadership.
";"The cons are that the oil and gas industry is cyclical and so layoffs do happen. There is also a traditional culture so no fully remote opportunities.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-07-11;Anonymous;Current Employee, less than 1 year;Great work culture;"- Great work culture, WLB - Opportunities to advance - Good compensation
";"- It's an oil and gas company in the time of climate change - IT compensation is not on par with big tech
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
