date;employee_title;employee_status;review_title;pros;cons
2020-11-15;Finance Manager;Current Employee, more than 10 years;Not the Company it Once Was;"In general the benefits are pretty good. The company focuses on safety. A fairly good work life balance, but constant downsizings have eroded some of this. The company has many employee networks to improve employee experience. The company is trying to take care of the thousands of employees being laid off.
";"I hate to say it, but avoid this company like the plague. I used to love working for Chevron, but now I’m just trying to hang on until retirement. Constant downsizing has destroyed the previous collaborative culture. It is now a dog eat dog company. Politics rule all decisions. Personnel decisions are based on favoritism and cliques. If you do not have a powerful sponsor, prepare for a lousy job or a target on your back for the next downsizing. The focus is on cost cutting and improving the bottom line. This is a declining industry and management has not made any meaningful changes to embrace a lower-carbon future. If you are in any service function your job will be automated or outsourced to Philippines or Argentina. If you are a petrotech, it’s still not too bad, but if you have a long career left, get out of O&G. Retrain yourself. We are coming through a massive downsizing and will probably have another in less than two years.
Verify your email to continue reading or Resend email
2 people found this review helpful
Helpful
Share
Repor"
2020-11-16;Project Manager;Current Employee;Very corporate;"Good bennys. Lots of differing opportunities. Global reach.
";"Bureaucratic. Management is very inbred with 30+ years working nowhere else. Not an innovative company - but it is so profitable it doesn't have to be.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-30;Maintenance Planner;Current Employee, more than 8 years;Working for Chevron;"Great company Safety always comes first Work/life balance
";"Takes time to get things approved
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-13;Portfolio Manager;Current Employee, more than 5 years;Overall good company to work for;"Great benefits, global scale, 9/80 work schedule.
";"Have to deal with politics.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-30;Production Engineer;Current Employee;Good;"Good work life balance, good managers
";"Pay more to lower level employees
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-12;Cashieer;Former Employee, less than 1 year;Cashier;"Fast paced, decent pay meet nice people
";"Meet not nice people at times
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-29;Material Supervisor;Current Employee;Review;"Good, safe, well known, high payment.
";"Very well organization for safety.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-11;Dispatcher;Former Employee;Too big to be noticed;"Salary. Benefits. Insurance. Location. Credit Union.
";"Too big to get noticed. Supervisor had too many people and favorites are given smaller slower terminals to dispatch
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-28;FE/I&E/Automation;Current Employee;Great;"Good pay Good benefits Innovation Work life balance
";"I have nothing bad to say
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-11;Infrastructure Delivery Analyst;Current Employee;Good benefit, opportunity for growth;"Lots of opportunity for growth;
";"A lot of changes; IT usually the lat to know
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-11;Tax Lead;Current Employee, more than 10 years;tax salary;"work 40 hour week in 30 hours
";"old school management. does not adapt quickly to EE needs and societal norms
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-27;Gas Station Attendant;Current Employee;Good gas;"Good pay Get to experience a variety of people and scenarios
";"Can be dangerous to work night shifts Some racist customers will always make you feel like a second class citizen, no matter how good you are to them
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-27;Intern;Former Employee, less than 1 year;Great team environment;"Team Environment. Help you succeed. A true family
";"Online Internship but not many cons
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-01;IT Professional;Current Employee, more than 5 years;Transformation = Eliminate High Performers;"8% 401K match with option for after-tax 401K contributions Competitive Salary
";"Zero value for aptitude. If you get into the wrong position your career suffers. High performers not valued in during layoffs. Your high performance and frequent promotions may have just ushered you out the door faster.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-10-26;Engine Cadet;Former Employee, less than 1 year;Good company;"Good salary Good knowledge and experience
";"For the time of my employment did not notice any cons
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-25;Human Resources;Current Employee;Amazing company;"Cares for employees, fair pay and fair practices
";"Nothing as a con. Overall great
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-22;General Manager;Current Employee;Cool place;"Really nice and smart people
";"Decision making can be slow. But it is improving.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-06;Senior Asset Manager;Former Employee;The lion who ate too much;"Big Budgets, strict processes, diverse locations,
";"Limited HR group, limited operation managers, culture identification,
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-05;Operations Supervisor;Current Employee;Chevron;"Salary, benefit package, flexible work schedule for some.
";"Commodity driven employment, so frequent layoffs and reorganization.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-21;Public Affairs;Current Employee;Great Company;"forward leaning and empathetic leadership
";"none visible at this time
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-20;Senior Financial Analyst;Current Employee, more than 10 years;Great Company;"Great Leadership & Great Diversity
";"The oil & gas industry is unfairly targeted by environmentalists.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-20;Group Finance Manager;Former Employee;A complete finance career is possible within this single blue chip company.;"Ever present commitment to workplace safety, ethical dealings and business integrity. Unlimited variety of finance functional roles. Rich variety of business lines to support and learn about, from world scale engineering projects to customer-driven retail activities. Steady exposure to latest management practices and digital skills.
";"Committee-based personnel development process concentrates power over job opportunities in just a few hands and leads to favoritism, cliques and an ""in"" crowd within the Finance department.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-03;HSE Specialist;Current Employee;Once world class but now struggling;"Great pay and benefits Safety focused
";"Top heavy Does not promote based on qualifications Majority of careers are pigeon-holed from beginning.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-03;Mechanical Design Engineer;Current Employee;Work Life Balance but No Challenge;"40 hour work week respected 9/80's are great
";"No challenge Management plays musical chairs with eachother instead of listening and training employees
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-18;Administrative Assistant;Current Employee, more than 8 years;Good company to work for.;"Nice people to work with and great benefits.
";"Layoffs have been consistent every two years.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-02;Senior Cyber Security Engineer;Current Employee, more than 8 years;Nice Company to work for;"Work life balance, not much pressure
";"Some times things get very slow
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-01;Counsel;Former Employee, more than 3 years;Mostly good;"Good benefits, easy to plan for retirement
";"Culture is not great, not a lot of transparency
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-22;Employee;Former Employee;Culture;"Work life balance benefits compensation
";"Stated culture and values vs. real culture and values. Two sets of rules one for management another for everyone else
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-10-17;IT Team Lead;Current Employee;Great place to work;"Culture, Work/Life Balance, World Class
";"None comes to mind right now
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-28;Team Lead;Current Employee;Highly Competitive;"Good pay structure and benefits
";"Difficult to set yourself apart from the crowd.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-12;Operator;Current Employee, less than 1 year;Good job for starters wanting to learn;"They take time to teach you correctly
";"I don’t have any I can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2020-10-27;Business Systems Analyst;Former Employee, more than 5 years;Business side is great - I.T. is awful;"Business side is filled with pretty cool people, large company so lots of movement.
";"I.T. is the worst I've seen at any company. I think it has to do with the fact Chevron pumps money out of the ground and throws money at everything. I've worked at a lot of companies and I.T. side is pretty bad filled with great talkers but mostly just talkers... only at Chevron can you ruin an entire business unit I.T. system smooth talk it and get promoted to upper management. Blows my mind, but, play the game right, let water slide over your back and move on in life - it is what it is.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
